Time (ms),Filtered RSSI,Raw RSSI
1562,-32,-64
2072,-43,-65
3566,-49,-66
4082,-53,-67
5569,-56,-69
6267,-57,-63
7572,-57,-63
8112,-58,-65
10130,-59,-63
11579,-59,-64
13585,-60,-62
14265,-60,-66
16181,-60,-63
18183,-61,-66
18272,-61,-62
22217,-63,-100
22266,-63,-63
23611,-63,-63
24237,-63,-64
26270,-63,-66
27629,-63,-65
29632,-63,-64
30272,-63,-60
31637,-63,-60
32283,-63,-65
38279,-63,-65
38321,-63,-63
40338,-63,-60
42276,-63,-60
43664,-63,-66
44379,-63,-62
45678,-63,-64
46283,-63,-63
46377,-63,-66
49682,-63,-65
50281,-63,-65
51683,-63,-63
52419,-63,-63
58285,-63,-64
60478,-63,-66
63723,-63,-63
65724,-63,-66
66290,-63,-63
66521,-63,-63
67724,-63,-63
68538,-63,-65
71738,-64,-69
72564,-64,-64
74573,-64,-67
76591,-64,-66
82633,-64,-64
83764,-64,-65
85773,-64,-65
87773,-64,-69
88679,-64,-66
89777,-64,-65
90691,-64,-64
93791,-64,-67
94713,-64,-64
102780,-64,-66
103815,-64,-67
104789,-64,-65
105820,-64,-66
106317,-64,-64
107831,-64,-63
108816,-64,-65
109828,-64,-68
111841,-64,-63
112841,-64,-67
116868,-64,-68
118323,-64,-69
121865,-64,-69
122322,-64,-66
123874,-64,-65
124931,-64,-62
125871,-64,-72
126324,-65,-73
126938,-65,-72
130967,-65,-70
131889,-65,-70
134326,-65,-65
137016,-65,-66
141034,-65,-67
142330,-65,-64
143920,-65,-68
146341,-65,-63
147077,-65,-62
147931,-65,-67
149929,-65,-63
150336,-65,-67
151935,-65,-62
153128,-65,-63
153937,-65,-68
155131,-65,-69
158341,-65,-62
159166,-65,-66
161180,-65,-65
162336,-65,-70
163968,-65,-67
165968,-65,-62
166342,-65,-61
167225,-65,-61
167980,-65,-63
169235,-65,-66
169989,-65,-70
171990,-65,-64
175275,-65,-62
183334,-65,-64
184017,-65,-59
186018,-65,-66
188022,-65,-63
190036,-65,-63
191391,-65,-62
197435,-65,-65
202066,-65,-66
202365,-65,-66
206074,-65,-61
206369,-65,-61
208076,-65,-65
209530,-65,-62
210088,-65,-62
210375,-65,-62
211528,-65,-64
212090,-65,-61
213540,-65,-63
214091,-65,-66
214370,-65,-65
217570,-65,-63
218375,-65,-61
219584,-65,-63
222375,-65,-63
223618,-64,-62
225630,-65,-66
226119,-65,-65
230374,-64,-60
231670,-64,-63
234144,-64,-62
234382,-64,-65
238380,-64,-68
239725,-64,-67
241741,-64,-64
242384,-64,-65
246171,-65,-68
246385,-65,-63
247784,-65,-67
248179,-65,-65
250392,-65,-66
252192,-65,-67
253838,-65,-66
254391,-65,-61
255835,-65,-64
258394,-65,-61
259870,-65,-63
264217,-65,-65
266228,-64,-62
267921,-65,-66
269931,-64,-63
270236,-64,-63
270393,-64,-63
274242,-64,-66
282023,-64,-66
284034,-64,-65
284271,-65,-67
286045,-65,-66
286272,-65,-65
288066,-65,-64
288275,-65,-63
290076,-65,-66
290280,-65,-68
292091,-65,-62
292292,-65,-63
296117,-65,-63
302416,-65,-67